Operation Name,Total Floor Area of the Indoor Space in which Operation is Conducted,,Average # Hours Per Week,Electricity,,Natural Gas,,GHG Emissions (Kg)
McBrien Building,"92,751.13",Square feet,168,"3,839,387.00",kWh,"112,864.00",Cubic meter,"520,534.69"
Memorial Park Ave 175,"6,393.76",Square feet,60,"65,170.53",kWh,"14,212.66",Cubic meter,"32,084.49"
Metro Hall,"787,185.53",Square feet,60,"9,613,655.10",kWh,,,"2,454,360.20"
North York Central Office,"18,933.70",Square feet,60,"395,788.03",kWh,"44,088.10",Cubic meter,"115,017.20"
North York Civic Centre,"303,509.69",Square feet,60,"8,557,012.58",kWh,"971,309.80",Cubic meter,"2,520,945.54"
Old City Hall,"350,494.11",Square feet,60,"2,820,835.10",kWh,,,"1,135,086.34"
Pape Avenue Multiuse Building,"9,364.59",Square feet,60,"79,992.55",kWh,"26,634.24",Cubic meter,"56,754.81"
Patten Building,"33,163.58",Square feet,168,"491,757.71",kWh,0,Cubic meter,"39,340.62"
Property Dept Workshop,"39,169.83",Square feet,60,"127,323.83",kWh,"91,393.32",Cubic meter,"182,976.58"
Property Maintenance Office,"13,487.17",Square feet,60,"138,819.88",kWh,"28,290.23",Cubic meter,"64,591.87"
Queen Street Office,"25,327.46",Square feet,60,"385,146.83",kWh,"36,848.59",Cubic meter,"100,478.68"
Scarborough Admin Office,"20,397.59",Square feet,60,"128,503.44",kWh,"36,782.57",Cubic meter,"79,822.40"
Scarborough Civic Centre,"372,861.50",Square feet,60,"7,132,276.01",kWh,"258,789.31",Cubic meter,"1,059,856.14"
Scarborough North Office,"49,384.77",Square feet,60,"1,359,360.83",kWh,"3,034.80",Cubic meter,"114,486.55"
Scarborough West Office,"19,999.33",Square feet,60,"510,972.89",kWh,"55,092.22",Cubic meter,"145,036.67"
St Lawrence Hall,"55,412.56",Square feet,60,"1,329,298.55",kWh,"69,373.60",Cubic meter,"237,503.49"
Support Services Building,"8,157.53",Square feet,168,"120,984.21",kWh,0,Cubic meter,"9,678.74"
Toronto Admin Office,"54,637.56",Square feet,60,"691,424.24",kWh,"110,942.68",Cubic meter,"265,065.16"
Western District Office,"4,843.76",Square feet,60,"50,041.00",kWh,"13,017.00",Cubic meter,"28,613.57"
York Civic Center,"72,914.66",Square feet,60,"1,586,884.07",kWh,"154,789.11",Cubic meter,"419,599.20"
2430 Lawrence Ave E,"7,782.30",Square feet,168,"238,103.11",kWh,"19,969.36",Cubic meter,"56,802.87"
50 Toryork,"13,153.49",Square feet,168,"120,433.79",kWh,"16,271.00",Cubic meter,"40,397.09"
Ambulance Headquarters,"101,718.86",Square feet,168,"3,665,865.25",kWh,"214,872.64",Cubic meter,"699,513.24"
EMS Workshop West,"1,657.64",Square feet,168,"13,967.79",kWh,"6,079.25",Cubic meter,"12,611.02"
Station #10,"5,005.21",Square feet,168,"72,908.10",kWh,"12,179.28",Cubic meter,"28,859.13"
Station #11,"3,573.61",Square feet,168,"32,131.69",kWh,"12,057.28",Cubic meter,"25,366.36"
Station #14,"4,251.74",Square feet,168,"56,926.45",kWh,"15,424.00",Cubic meter,"33,715.15"
Station #19,"1,367.02",Square feet,168,"27,709.38",kWh,"6,064.82",Cubic meter,"13,683.07"
Station #24,"2,658.68",Square feet,168,"26,457.87",kWh,"5,311.66",Cubic meter,"12,159.00"
Station #28,"1,905.21",Square feet,168,"26,435.55",kWh,"8,381.00",Cubic meter,"17,960.19"
Station #31,"2,830.91",Square feet,168,"40,043.43",kWh,"6,411.39",Cubic meter,"15,325.03"
Station #32,"3,218.41",Square feet,168,"19,844.93",kWh,"5,028.07",Cubic meter,"11,093.81"
Station #33,"3,132.29",Square feet,168,"25,193.85",kWh,"8,688.93",Cubic meter,"18,443.03"
Station #34 (save-a-life),"13,939.25",Square feet,168,"57,477.84",kWh,"30,651.28",Cubic meter,"62,548.37"
Station #37,"4,413.20",Square feet,168,"38,795.80",kWh,"9,125.08",Cubic meter,"20,355.78"
Station #38,"5,102.09",Square feet,168,"19,053.68",kWh,"12,202.94",Cubic meter,"24,595.49"
Station #40,"12,798.28",Square feet,168,"144,942.33",kWh,"18,542.67",Cubic meter,"46,652.66"
Station #42,"6,996.54",Square feet,168,"125,496.98",kWh,"15,636.46",Cubic meter,"39,602.47"
Station #44,"2,798.61",Square feet,168,"35,713.78",kWh,"11,723.62",Cubic meter,"25,022.09"
Station #45,"11,495.85",Square feet,168,"72,365.01",kWh,"17,998.28",Cubic meter,"39,817.24"
Station #46,"1,571.53",Square feet,168,"20,529.59",kWh,"6,391.24",Cubic meter,"13,725.81"
Station #47,"1,786.81",Square feet,168,"30,152.79",kWh,"3,648.02",Cubic meter,"9,309.26"
Station #49,"2,583.34",Square feet,168,"40,717.45",kWh,"5,099.00",Cubic meter,"12,897.70"
519 Church St Comm Ctr,"15,553.84",Square feet,100,"518,036.46",kWh,"41,083.96",Cubic meter,"119,117.36"
Albion Comm Ctr & Pool (indoor),"20,688.22",Square feet,100,"494,387.59",kWh,"140,180.33",Cubic meter,"304,579.73"
Amesbury Community Center,"37,975.04",Square feet,100,"278,437.06",kWh,"43,521.54",Cubic meter,"104,557.97"
Armour Height C.C,"19,773.28",Square feet,100,"184,280.81",kWh,"21,524.00",Cubic meter,"55,436.32"
Banbury C.C.,"9,536.82",Square feet,100,"97,799.90",kWh,"11,688.18",Cubic meter,"29,921.98"
Berner Trail C.C,"10,204.18",Square feet,100,"201,609.79",kWh,"18,735.31",Cubic meter,"51,550.26"
Birchmount C.C,"46,167.00",Square feet,100,"1,398,919.04",kWh,"206,533.72",Cubic meter,"502,391.74"
Birkdale C.C,"11,732.65",Square feet,100,"255,085.30",kWh,"5,415.00",Cubic meter,"30,644.57"
Burrows Hall Community Complex,"252,951.65",Square feet,100,"812,050.37",kWh,"5,617.75",Cubic meter,"75,585.10"
Cecil Community Ctr,"5,769.45",Square feet,100,"94,924.62",kWh,"28,657.62",Cubic meter,"61,774.85"
Cedar Brook C.C,"14,951.06",Square feet,100,"151,979.06",kWh,"14,344.00",Cubic meter,"39,277.48"
Cedar Ridge C.C,"13,110.43",Square feet,100,"173,909.07",kWh,"15,325.74",Cubic meter,"42,887.98"
Chapley C.C / Wilmington Park,"6,996.54",Square feet,100,"357,856.26",kWh,"16,493.47",Cubic meter,"59,811.50"
Commander Park C.C,"56,316.72",Square feet,100,"972,293.77",kWh,"29,363.36",Cubic meter,"133,298.67"
Community Centre 55,"8,998.62",Square feet,100,"56,916.37",kWh,"9,112.86",Cubic meter,"21,782.33"
Curran Hall C.C,"2,507.99",Square feet,100,"51,518.53",kWh,"2,213.26",Cubic meter,"8,305.94"
Davenport C.C,"2,281.95",Square feet,100,"1,050.42",kWh,"5,449.92",Cubic meter,"10,387.80"
David Appleton Community Centre,"2,906.25",Square feet,100,"78,145.01",kWh,"9,862.28",Cubic meter,"24,897.49"
Driftwood C.C,"25,015.30",Square feet,100,"386,517.39",kWh,"45,491.12",Cubic meter,"116,928.13"
Earl Bales C.C & Senior,"21,656.97",Square feet,100,"391,380.84",kWh,"32,851.13",Cubic meter,"93,419.70"
East York Community Centre,"31,000.03",Square feet,100,"483,481.05",kWh,"93,261.69",Cubic meter,"215,001.56"
Eastview Neighbourhood Comm Ctr,"25,510.44",Square feet,100,"412,019.43",kWh,"29,973.13",Cubic meter,"89,629.57"
Ellesmere C.C,"24,401.76",Square feet,100,"228,254.04",kWh,"36,905.31",Cubic meter,"88,034.49"
Elmbank Community Centre,"14,725.02",Square feet,100,"274,685.49",kWh,"25,277.79",Cubic meter,"69,765.72"
Fairbanks Community Centre,"19,364.26",Square feet,100,"275,872.00",kWh,"41,473.23",Cubic meter,"100,480.18"
Falstaff C.C,"13,853.14",Square feet,100,"150,235.56",kWh,"32,352.86",Cubic meter,"73,186.04"
Flemingdon C.C,"9,999.66",Square feet,100,"99,660.99",kWh,"17,177.73",Cubic meter,"40,449.55"
Forest Hill C.C,"32,840.66",Square feet,100,"653,511.32",kWh,"45,318.46",Cubic meter,"137,961.21"
Glenlong C.C & A.I.R,"10,236.47",Square feet,100,"318,060.37",kWh,"36,636.43",Cubic meter,"94,710.65"
Harbourfront Community Centre,"123,214.36",Square feet,100,"1,311,617.89",kWh,"98,338.33",Cubic meter,"290,850.54"
Harwood Hall Community Ctr,"4,305.56",Square feet,100,"30,315.20",kWh,"9,347.04",Cubic meter,"20,096.99"
Heron Park C.C,"52,377.14",Square feet,100,"1,134,472.60",kWh,"91,212.42",Cubic meter,"263,206.48"
Humber Sheppard Community Ctr,"57,866.73",Square feet,100,"276,488.07",kWh,"127,374.09",Cubic meter,"262,935.93"
Jenner Jean-Marie C.C.,"13,207.31",Square feet,100,"75,106.23",kWh,"28,880.40",Cubic meter,"60,610.57"
John Innes C.C,"24,175.72",Square feet,100,"430,405.70",kWh,"74,850.54",Cubic meter,"175,946.91"
Lakeshore Community Ctr,"5,952.44",Square feet,100,"36,617.59",kWh,"9,825.13",Cubic meter,"21,505.06"
Lawrence Heights C.C.,"22,152.11",Square feet,100,"291,013.01",kWh,"44,179.39",Cubic meter,"106,807.79"
Ledbury Community Center,"5,780.21",Square feet,100,"149,775.96",kWh,"14,769.48",Cubic meter,"39,905.65"
Leslie Grove Park,"1,388.54",Square feet,100,"4,828.01",kWh,"4,038.85",Cubic meter,"8,022.20"
Main Square Comm Ctr,"35,122.61",Square feet,100,"602,675.76",kWh,"76,229.34",Cubic meter,"192,335.31"
Masaryk-Cowan C.R.C,"32,270.17",Square feet,100,"659,850.81",kWh,"22,845.00",Cubic meter,"95,979.44"
McGregor Park C.C,"45,262.20",Square feet,100,"1,181,544.94",kWh,"88,669.89",Cubic meter,"262,165.29"
Mid-Scarborough C.C,"89,125.09",Square feet,100,"1,722,683.13",kWh,"146,085.00",Cubic meter,"414,006.90"
Mount Dennis Community Ctr,"3,003.13",Square feet,100,"48,304.74",kWh,"3,899.64",Cubic meter,"11,237.15"
Niagara C.C,"5,295.84",Square feet,100,"168,521.00",kWh,"5,803.74",Cubic meter,"24,454.39"
Northwood C.C,"36,166.70",Square feet,100,"332,793.46",kWh,"50,281.55",Cubic meter,"121,687.13"
Oakdale Community Center,"9,999.66",Square feet,100,"75,107.42",kWh,"17,019.56",Cubic meter,"38,186.23"
Oakridge C.C,"18,600.02",Square feet,100,"336,142.16",kWh,"30,375.52",Cubic meter,"84,320.15"
O'Connor C.C,"16,253.49",Square feet,100,"271,083.93",kWh,"38,867.00",Cubic meter,"95,169.72"
Ourland Community Ctr,"9,450.70",Square feet,100,"171,356.95",kWh,"23,667.35",Cubic meter,"58,454.69"
Port Union C.C,"19,977.80",Square feet,100,"480,968.94",kWh,"30,862.47",Cubic meter,"96,826.93"
Ralph Thornton Community Ctr,"17,060.78",Square feet,100,"211,604.52",kWh,"38,099.77",Cubic meter,"88,960.81"
Scadding Court Community Ctr,"46,693.80",Square feet,100,"744,411.66",kWh,"128,620.81",Cubic meter,"302,726.91"
Scarborough Village C.C,"58,125.06",Square feet,100,"937,376.25",kWh,"118,110.25",Cubic meter,"298,292.52"
St James Town C.C.,"23,002.45",Square feet,100,"1,135,531.88",kWh,"98,739.10",Cubic meter,"277,521.35"
St Lawrence C.C,"46,112.55",Square feet,100,"926,063.23",kWh,"169,490.44",Cubic meter,"394,528.27"
Stanley C.C,"12,895.15",Square feet,100,"242,391.73",kWh,"26,476.91",Cubic meter,"69,449.31"
Swansea Town Hall Comm Ctr,"14,402.10",Square feet,100,"75,949.00",kWh,"16,993.54",Cubic meter,"38,204.36"
Tall Pines C.C,"5,188.20",Square feet,100,"48,777.85",kWh,"5,233.72",Cubic meter,"13,797.25"
Tam Heather C.C,"28,545.86",Square feet,100,"58,831.00",kWh,"119,274.82",Cubic meter,"230,210.68"
Thistletown C.C,"44,810.12",Square feet,100,"341,314.30",kWh,"106,434.21",Cubic meter,"228,532.54"
West Rouge C.C,"24,401.76",Square feet,100,"209,824.83",kWh,"38,809.83",Cubic meter,"90,160.90"
Allan Gardens,"25,176.76",Square feet,100,"192,546.85",kWh,"134,089.87",Cubic meter,"268,917.67"
Civic Garden Centre,"36,952.47",Square feet,100,"534,234.93",kWh,"58,796.48",Cubic meter,"153,901.01"
Colborne Lodge,"8,546.54",Square feet,100,"118,409.77",kWh,"11,763.48",Cubic meter,"31,713.14"
Edwards Gardens,"10,021.19",Square feet,100,"85,166.87",kWh,"42,809.12",Cubic meter,"87,749.43"
Gibson House Museum,"8,363.55",Square feet,100,"102,513.66",kWh,,,"8,201.09"
Historic Fort York,"22,819.47",Square feet,100,"268,202.17",kWh,"14,681.00",Cubic meter,"49,212.47"
Lakeshore Assembly Hall,"14,595.85",Square feet,100,"370,761.17",kWh,"39,628.93",Cubic meter,"104,584.41"
Mackenzie House Museum,"2,572.57",Square feet,100,"31,328.20",kWh,"10,558.76",Cubic meter,"22,468.94"
Martin Grove House / Bungalow,"18,139.94",Square feet,100,"10,834.84",kWh,"1,325.13",Cubic meter,"3,372.11"
Montgomery's Inn,"7,642.37",Square feet,100,"278,132.71",kWh,"5,023.99",Cubic meter,"31,749.11"
Neilson Pk Creative Arts,"12,346.19",Square feet,100,"173,430.46",kWh,"14,555.00",Cubic meter,"41,392.51"
Spandina House Museum,"27,587.88",Square feet,100,"104,817.11",kWh,"52,506.17",Cubic meter,"107,654.94"
The Guild Inn,"95,777.18",Square feet,100,"73,641.50",kWh,"18,109.31",Cubic meter,"40,129.26"
W.J. Morrish House,"4,047.23",Square feet,100,"26,492.10",kWh,"5,251.20",Cubic meter,"12,047.43"
William Goodwin House,818.06,Square feet,100,"28,812.41",kWh,"5,465.68",Cubic meter,"12,638.56"
Zion Methodist Church,"2,002.09",Square feet,100,"119,419.70",kWh,"6,491.36",Cubic meter,"21,826.32"
Zion School House,"1,582.29",Square feet,100,"41,122.73",kWh,"3,642.41",Cubic meter,"10,176.27"
Birchview Sewage PS,150.69,Square feet,168,"24,683.71",kWh,,,"1,974.70"
Brule Gardens Sewage PS,150.69,Square feet,100,"10,424.15",kWh,,,833.93235
Cumber Pumping Station,635.07,Square feet,168,"176,203.85",kWh,,,"14,096.31"
Long Branch Pumping Station,"3,067.71",Square feet,168,"184,854.78",kWh,,,"14,788.38"
Mimico Pumping Station,"4,434.73",Square feet,168,"794,196.17",kWh,,,"63,535.69"
Strachan Ave P.Stn,"1,205.56",Square feet,168,"271,925.94",kWh,"15,085.17",Cubic meter,"50,274.51"
New Toronto Pumping Station,"2,066.67",Square feet,168,"182,706.76",kWh,,,"14,616.54"
Swansea Pumping Station,527.43,Square feet,168,"159,920.00",kWh,,,"12,793.60"
West Rouge Pumping Station,"3,229.17",Square feet,168,"255,204.65",kWh,,,"20,416.37"
Armour Heights Pumping Station,"5,780.21",Square feet,168,"2,327,068.74",kWh,,,"186,165.50"
Bayview Pumping Station,"1,915.97",Square feet,168,"41,447.25",kWh,"2,387.28",Cubic meter,"7,829.24"
Eglinton Pumping Station,"10,075.01",Square feet,168,"8,509,823.66",kWh,,,"680,785.89"
Ellesmere Pumping Station,"6,243.06",Square feet,168,"22,243,637.50",kWh,,,"1,779,491.00"
High Level Pumping Station,"46,403.17",Square feet,168,"9,678,374.13",kWh,,,"774,269.93"
John Street Pumping Stn,"112,773.38",Square feet,168,"30,568,672.83",kWh,,,"2,445,493.83"
Keele Pumping Station,"2,744.79",Square feet,168,"5,567,861.29",kWh,,,"445,428.90"
Kennedy Pumping Station,"5,360.42",Square feet,168,"6,053,306.91",kWh,,,"484,264.55"
Lawrence Pumping Station,"15,629.18",Square feet,168,"6,846,339.95",kWh,,,"547,707.20"
Milliken Pumping Station,"7,254.87",Square feet,168,"3,226,357.17",kWh,,,"258,108.57"
Parkdale Pumping Station,"11,226.75",Square feet,168,"12,653,025.63",kWh,,,"1,012,242.05"
Richview Pumping Station,"2,357.29",Square feet,168,"12,307,708.68",kWh,,,"984,616.69"
Rosehill Pumping Station,"1,550.00",Square feet,168,"13,569,867.46",kWh,,,"1,085,589.40"
Scarborough Pumping Station,"9,160.08",Square feet,168,"11,662,296.79",kWh,,,"932,983.74"
St. Albans Pumping Station,"3,239.93",Square feet,168,"3,858,289.43",kWh,,,"308,663.15"
Thornhill Pumping Station,"1,550.00",Square feet,168,"277,740.04",kWh,,,"22,219.20"
W.H. Johnston Pumping Station,"1,743.75",Square feet,168,"2,152,743.52",kWh,,,"172,219.48"
West Toronto Pumping Station,"7,739.24",Square feet,168,"7,599,270.75",kWh,,,"607,941.66"
Humber Treatment Plant,"224,868.63",Square feet,168,"50,916,207.18",kWh,"1,673,558.92",Cubic meter,"7,237,372.25"
Main Treatment Plant,"378,437.20",Square feet,168,"115,399,724.41",kWh,"4,367,425.44",Cubic meter,"17,489,150.40"
Highland Creek Treatment Plant,"255,395.06",Square feet,168,"32,112,537.11",kWh,"5,727,160.07",Cubic meter,"13,396,926.44"
North Toronto Treatment Plant,"21,786.13",Square feet,168,"2,283,986.15",kWh,,,"182,718.89"
F.J. Horgan Filtration Plant,"325,446.52",Square feet,168,"42,747,587.15",kWh,,,"3,419,806.97"
Island Filtration Plant,"64,195.90",Square feet,168,"7,681,988.76",kWh,"8,222.74",Cubic meter,"630,105.23"
R.C. Harris Filtration Plant,"115,367.48",Square feet,168,"55,805,068.50",kWh,,,"4,464,405.48"
R.L. Clark Filtration Plant,"401,611.87",Square feet,168,"47,415,071.66",kWh,"78,178.60",Cubic meter,"3,941,012.31"
Fire Academy,"61,214.30",Square feet,168,"730,426.46",kWh,"119,950.56",Cubic meter,"285,215.88"
Fire Museum And Storage,"3,272.23",Square feet,168,"26,176.16",kWh,"13,536.76",Cubic meter,"27,687.05"
Fire Station 111,"5,661.81",Square feet,168,"93,047.54",kWh,"20,690.70",Cubic meter,"46,562.20"
Fire Station 112,"7,018.06",Square feet,168,"227,467.44",kWh,"29,906.99",Cubic meter,"74,740.35"
Fire Station 113,"4,832.99",Square feet,168,"80,152.36",kWh,"19,500.52",Cubic meter,"43,280.39"
Fire Station 114,"8,632.65",Square feet,168,"198,134.07",kWh,"37,849.08",Cubic meter,"87,409.22"
Fire Station 115,"5,984.73",Square feet,168,"105,334.03",kWh,"13,685.97",Cubic meter,"34,301.79"
Fire Station 116,"11,775.71",Square feet,168,"192,112.17",kWh,"21,017.32",Cubic meter,"55,104.88"
Fire Station 121,"4,219.45",Square feet,168,"103,081.74",kWh,"11,598.82",Cubic meter,"30,175.58"
Fire Station 122,"3,046.18",Square feet,168,"47,970.05",kWh,"16,173.24",Cubic meter,"34,415.17"
Fire Station 123,"2,497.22",Square feet,168,"49,863.22",kWh,"16,287.34",Cubic meter,"34,782.33"
Fire Station 125,"5,812.51",Square feet,168,"67,665.64",kWh,"11,294.93",Cubic meter,"26,767.75"
Fire Station 131,"5,844.80",Square feet,168,"79,665.42",kWh,"17,691.22",Cubic meter,"39,820.73"
Fire Station 132,"7,663.90",Square feet,168,"89,416.74",kWh,"19,934.25",Cubic meter,"44,841.58"
Fire Station 133,"8,062.16",Square feet,168,"94,306.04",kWh,"15,133.93",Cubic meter,"36,157.10"
Fire Station 134,"7,125.70",Square feet,168,"41,456.46",kWh,"18,522.86",Cubic meter,"38,336.34"
Fire Station 135,"10,591.68",Square feet,168,"130,137.68",kWh,"18,334.66",Cubic meter,"45,075.02"
Fire Station 141,"12,000.00",Square feet,168,"32,356.32",kWh,"13,633.48",Cubic meter,"28,364.34"
Fire Station 141 - OLD,"2,895.49",Square feet,168,"55,784.22",kWh,"8,728.11",Cubic meter,"20,964.34"
Fire Station 142,"5,586.46",Square feet,168,"117,467.74",kWh,"21,969.45",Cubic meter,"50,933.46"
Fire Station 143,"2,895.49",Square feet,168,"64,326.68",kWh,"18,377.46",Cubic meter,"39,891.05"
Fire Station 145,"11,000.71",Square feet,168,"95,756.35",kWh,"29,024.22",Cubic meter,"62,534.48"
Fire Station 146,"7,534.73",Square feet,168,"54,167.85",kWh,"15,462.46",Cubic meter,"33,567.18"
Fire Station 211,"5,005.21",Square feet,168,"128,714.41",kWh,"10,908.58",Cubic meter,"30,921.22"
Fire Station 212,"16,501.06",Square feet,168,"224,675.12",kWh,"48,607.41",Cubic meter,"109,872.49"
Fire Station 213,"5,048.27",Square feet,168,"61,602.97",kWh,"14,269.48",Cubic meter,"31,906.51"
Fire Station 214,"4,886.81",Square feet,168,"45,391.09",kWh,"15,770.49",Cubic meter,"33,447.40"
Fire Station 215,"5,737.16",Square feet,168,"61,139.73",kWh,"23,157.67",Cubic meter,"48,673.69"
Fire Station 222,"6,910.42",Square feet,168,"57,463.13",kWh,"15,390.88",Cubic meter,"33,695.45"
Fire Station 223,"7,459.38",Square feet,168,"43,733.75",kWh,"15,678.25",Cubic meter,"33,140.42"
Fire Station 224,"3,767.37",Square feet,168,"61,446.20",kWh,"9,868.57",Cubic meter,"23,573.48"
Fire Station 225,"9,084.73",Square feet,168,"101,315.66",kWh,"22,819.47",Cubic meter,"51,248.36"
Fire Station 226,"11,808.00",Square feet,168,"68,165.20",kWh,"37,363.88",Cubic meter,"76,094.39"
Fire Station 227,"10,484.04",Square feet,168,"82,650.89",kWh,"20,144.75",Cubic meter,"44,698.28"
Fire Station 231,"14,240.64",Square feet,168,"136,518.15",kWh,"25,863.00",Cubic meter,"59,818.74"
Fire Station 232,"5,349.66",Square feet,168,"67,527.50",kWh,"12,433.24",Cubic meter,"28,908.82"
Fire Station 233,"11,000.71",Square feet,168,"95,384.06",kWh,"22,321.52",Cubic meter,"49,832.39"
Fire Station 234,"5,349.66",Square feet,168,"36,097.78",kWh,"14,715.08",Cubic meter,"30,708.55"
Fire Station 235,"8,901.75",Square feet,168,"110,292.48",kWh,"19,991.44",Cubic meter,"46,619.76"
Fire Station 241,"5,500.35",Square feet,168,"46,633.42",kWh,"12,124.94",Cubic meter,"26,654.42"
Fire Station 242,"5,500.35",Square feet,168,"61,166.90",kWh,"15,077.46",Cubic meter,"33,399.20"
Fire Station 243,"5,349.66",Square feet,168,"49,903.96",kWh,"8,767.26",Cubic meter,"20,567.94"
Fire Station 244,"5,349.66",Square feet,168,"62,714.35",kWh,"16,459.80",Cubic meter,"36,136.50"
Fire Station 245,"5,607.99",Square feet,168,"43,416.77",kWh,"11,621.38",Cubic meter,"25,445.04"
Fire Station 311,"12,755.22",Square feet,168,"59,035.71",kWh,"26,196.18",Cubic meter,"54,250.07"
Fire Station 312,"9,805.91",Square feet,168,"96,746.84",kWh,"25,683.29",Cubic meter,"56,297.27"
Fire Station 313,"12,098.62",Square feet,168,"139,333.99",kWh,"39,273.67",Cubic meter,"85,398.58"
Fire Station 314,"11,937.17",Square feet,168,"50,570.62",kWh,"27,413.39",Cubic meter,"55,874.15"
Fire Station 315,"7,244.10",Square feet,168,"98,776.48",kWh,"25,427.12",Cubic meter,"55,975.32"
Fire Station 321,"7,534.73",Square feet,168,"90,513.34",kWh,"20,239.21",Cubic meter,"45,505.86"
Fire Station 322,"7,534.73",Square feet,168,"40,862.75",kWh,"18,422.37",Cubic meter,"38,098.85"
Fire Station 323,"10,236.47",Square feet,168,"128,904.00",kWh,"37,711.46",Cubic meter,"81,610.62"
Fire Station 324,"13,153.49",Square feet,168,"76,523.35",kWh,"26,267.19",Cubic meter,"55,783.32"
Fire Station 325,"10,128.83",Square feet,168,"167,544.57",kWh,"21,997.25",Cubic meter,"54,992.16"
Fire Station 331,"10,979.18",Square feet,168,"76,893.80",kWh,"26,710.81",Cubic meter,"56,651.69"
Fire Station 333,"12,722.93",Square feet,168,"141,938.88",kWh,"33,804.26",Cubic meter,"75,266.35"
Fire Station 334,"13,002.79",Square feet,168,"369,013.48",kWh,"18,646.63",Cubic meter,"64,774.90"
Fire Station 335,"4,402.44",Square feet,168,"93,530.21",kWh,"8,971.79",Cubic meter,"24,444.72"
Fire Station 341,"9,267.72",Square feet,168,"72,894.71",kWh,"24,174.14",Cubic meter,"51,535.86"
Fire Station 342,"3,056.95",Square feet,168,"27,811.44",kWh,"10,710.92",Cubic meter,"22,475.26"
Fire Station 343,"9,827.44",Square feet,168,"51,091.79",kWh,"25,692.96",Cubic meter,"52,663.15"
Fire Station 344,"11,237.51",Square feet,168,"87,828.64",kWh,"27,346.17",Cubic meter,"58,727.70"
